time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2003-02-11T19:27:14.670Z,23.386,70.218,10,4.5,mb,23,,,1.13,us,usp000bqg0,2020-09-18T19:17:02.214Z,"16 km NW of Bhach?u, India",earthquake,,,,11,reviewed,us,us
2003-01-19T22:57:26.600Z,23.149,70.636,10,4.1,mb,16,,,1.24,us,usp000bnv1,2014-11-07T01:17:36.554Z,"34 km ESE of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2002-08-29T22:24:47.950Z,23.063,70.263,10,3.8,mb,8,,,1.53,us,usp000bawa,2014-11-07T01:16:21.317Z,"5 km NE of K?ndla, India",earthquake,,,,1,reviewed,us,us
2002-08-18T16:03:35.700Z,23.236,70.234,10,3.9,mb,6,,,0.85,us,usp000ba52,2014-11-07T01:16:17.481Z,"13 km WSW of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2002-08-09T21:00:55.890Z,23.409,70.306,10,4.6,mb,32,,,1.12,us,usp000b9kq,2020-09-18T18:59:16.296Z,"12 km NNW of Bhach?u, India",earthquake,,,,15,reviewed,us,us
2002-04-24T17:08:48.110Z,23.393,70.024,10,4,mb,13,,,1.03,us,usp000b32x,2014-11-07T01:15:28.149Z,"30 km N of Anj?r, India",earthquake,,,,1,reviewed,us,us
2002-03-30T06:17:46.640Z,23.483,70.345,10,4.5,mb,48,,,1.15,us,usp000b1bn,2020-09-18T18:48:03.456Z,"20 km N of Bhach?u, India",earthquake,,,,22,reviewed,us,us
2002-03-27T22:29:34.750Z,23.579,69.983,10,4.2,mb,17,,,0.94,us,usp000b177,2014-11-07T01:15:14.788Z,"48 km NW of Bhach?u, India",earthquake,,,,3,reviewed,us,us
2002-01-18T13:44:45.350Z,23.148,69.757,10,4.2,mb,11,,,1.44,us,usp000awq7,2014-11-07T01:14:42.626Z,"14 km SE of Bhuj, India",earthquake,,,,3,reviewed,us,us
2002-01-09T23:52:41.930Z,23.557,70.203,10,4.8,mb,73,,,0.81,us,usp000aw4u,2020-09-18T18:40:00.789Z,"31 km NNW of Bhach?u, India",earthquake,,,,50,reviewed,us,us
2001-12-21T17:33:21.110Z,23.765,70.051,10,4.6,mb,24,,,1.32,us,usp000av10,2020-09-18T18:37:18.071Z,"59 km NNW of Bhach?u, India",earthquake,,,,7,reviewed,us,us
2001-12-01T22:03:22.300Z,23.201,70.076,10,4.1,mb,16,,,1.17,us,usp000atur,2014-11-07T01:14:23.768Z,"10 km NNE of Anj?r, India",earthquake,,,,3,reviewed,us,us
2001-11-24T02:42:39.650Z,23.615,70.414,10,4.6,mb,21,,,1.38,us,usp000atcx,2020-09-18T18:34:51.007Z,"24 km W of R?par, India",earthquake,,,,9,reviewed,us,us
2001-10-31T09:17:47.290Z,23.766,70.086,10,4.8,mb,15,,,0.81,us,usp000arz6,2020-09-18T18:33:55.974Z,"58 km NNW of Bhach?u, India",earthquake,,,,1,reviewed,us,us
2001-10-03T00:48:02.840Z,23.207,69.973,10,3.9,mb,13,,,0.64,us,usp000aq5c,2014-11-07T01:13:55.540Z,"11 km NNW of Anj?r, India",earthquake,,,,2,reviewed,us,us
2001-09-21T02:40:37.710Z,23.468,70.075,10,4.5,mb,16,,,1.26,us,usp000aphw,2020-09-18T18:31:50.379Z,"33 km NW of Bhach?u, India",earthquake,,,,2,reviewed,us,us
2001-09-20T13:34:29.900Z,23.573,70.28,10,4.7,mb,37,,,0.9,us,usp000apgz,2020-09-18T18:31:41.707Z,"31 km NNW of Bhach?u, India",earthquake,,,,16,reviewed,us,us
2001-08-24T12:33:02.590Z,22.979,70.543,10,4.4,mb,11,,,0.95,us,usp000amyy,2014-11-07T01:13:36.333Z,"33 km E of K?ndla, India",earthquake,,,,4,reviewed,us,us
2001-08-08T23:47:14.490Z,23.211,70.642,10,4,mb,15,,,1.08,us,usp000am2k,2014-11-07T01:13:30.776Z,"32 km ESE of Bhach?u, India",earthquake,,,,3,reviewed,us,us
2001-08-04T11:24:35.390Z,23.307,70.265,10,4.3,mb,36,,,1.07,us,usp000aktx,2014-11-07T01:13:29.255Z,"8 km W of Bhach?u, India",earthquake,,,,19,reviewed,us,us
2001-08-03T04:24:20.800Z,23.53,70.026,10,4.4,mb,28,,,1.04,us,usp000aks8,2014-11-07T01:13:28.668Z,"41 km NW of Bhach?u, India",earthquake,,,,10,reviewed,us,us
2001-08-01T06:20:06.040Z,23.6,70.405,10,4,mb,13,,,0.82,us,usp000aknk,2014-11-07T01:13:26.703Z,"24 km W of R?par, India",earthquake,,,,6,reviewed,us,us
2001-07-26T11:36:59.230Z,23.725,70.208,10,4.2,mb,12,,,1.46,us,usp000ak78,2014-11-07T01:13:21.844Z,"47 km WNW of R?par, India",earthquake,,,,2,reviewed,us,us
2001-07-15T00:04:27.020Z,23.705,70.367,10,4.2,mb,6,,,0.8,us,usp000ajj7,2014-11-07T01:13:17.034Z,"32 km WNW of R?par, India",earthquake,,,,1,reviewed,us,us
2001-07-11T22:37:31.000Z,23.507,70.419,10,3.7,mb,10,,,0.91,us,usp000ajd8,2014-11-07T01:13:16.486Z,"24 km NNE of Bhach?u, India",earthquake,,,,3,reviewed,us,us
2001-07-04T02:15:14.350Z,23.285,70.129,10,4.1,mb,14,,,0.9,us,usp000ahyb,2014-11-07T01:13:13.714Z,"21 km NNE of Anj?r, India",earthquake,,,,1,reviewed,us,us
